id;rut;nombre;direccion;fecha_creacion;fecha_modificacion
1;Product;panel Refined;Honduras Orchard;2020-09-14T06:37:13;2020-09-14T00:03:52
2;Metal;Multi-tiered Borders;Wooden Fish compress;2020-09-14T01:28:22;2020-09-14T15:32:54
3;Concrete Egypti;algorithm;bypassing Agent Estonia;2020-09-14T00:47:49;2020-09-14T11:13:50
4;Awesome Fresh C;Configuration Kiribati Future-proofed;Dam Intelligent Concrete Pants;2020-09-14T01:51:26;2020-09-14T16:17:03
5;withdrawal;Salad GB;digital;2020-09-14T00:26:18;2020-09-13T23:51:25
6;Communications ;Focused optical violet;generating;2020-09-13T20:41:34;2020-09-14T05:54:05
7;navigate web-en;National Analyst Books;program;2020-09-14T11:31:16;2020-09-14T06:30:46
8;Home Loan Accou;Checking Account Personal Loan Account;Facilitator deposit;2020-09-13T22:41:41;2020-09-14T14:32:02
9;deliverables ge;reboot;Cheese;2020-09-14T08:45:15;2020-09-14T14:19:19
10;copy;override HDD;PCI;2020-09-14T11:30:10;2020-09-14T15:39:04
