id;id_usuario_creador;id_usuario_firma;id_usuario_lectura;numero_folio;requiere_respuesta;fecha_requerida;estado_lectura;estado_folio;entidad_creacion;fecha_creacion;idlibro_relacionado;id_folio_relacionado;id_folio_respuesta;fecha_modificacion;fecha_firma;fecha_lectura;asunto;anotacion;pdf_firmado;pdf_firmado_content_type;pdf_lectura;pdf_lectura_content_type;id_receptor;posee_folio_referencia;posee_archivos;emisor_marcado;tipo_folio_marcado
1;14608;28288;16480;56042;true;2020-09-14T06:21:12;true;true;false;2020-09-14T04:47:54;13351;20879;94720;2020-09-14T10:17:23;2020-09-14T00:54:14;2020-09-13T23:29:20;Infrastructure Yemeni Rial;Syrian Pound Granite indexing;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;63779;false;true;overriding;communities Awesome Soft Shirt feed
2;15235;37727;88167;80947;false;2020-09-14T17:25:29;true;false;false;2020-09-14T08:12:41;36140;68987;55755;2020-09-14T13:05:54;2020-09-14T18:26:49;2020-09-14T00:33:30;payment;revolutionary Grass-roots;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;18530;true;true;backing up Berkshire;Savings Account Hat
3;43720;81908;80046;45946;false;2020-09-14T12:52:49;false;false;true;2020-09-14T05:09:34;47518;2321;40088;2020-09-14T19:10:45;2020-09-14T01:51:18;2020-09-14T14:31:54;architectures Wisconsin Fantastic Granite Fish;Product Liaison;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;88016;false;false;Generic Group Enterprise-wide;Architect
4;9739;19590;54885;67905;false;2020-09-14T01:24:25;true;false;false;2020-09-14T11:11:32;41708;2093;24869;2020-09-14T08:11:24;2020-09-14T19:17:36;2020-09-13T21:19:10;auxiliary client-server Infrastructure;bandwidth;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;21613;true;false;backing up copying;array
5;53458;93306;71219;83824;true;2020-09-14T10:46:30;true;true;true;2020-09-14T08:11:57;37854;10571;61542;2020-09-14T04:58:59;2020-09-14T01:04:09;2020-09-14T09:49:09;Oklahoma;open-source Fantastic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;78065;false;false;back-end;Markets Money Market Account
6;21690;8498;23775;80415;true;2020-09-14T04:07:40;true;false;true;2020-09-13T23:54:28;36759;7485;81445;2020-09-14T11:07:33;2020-09-14T09:43:19;2020-09-14T07:08:38;definition;open architecture;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;64012;false;false;Berkshire;Direct SSL array
7;38278;82237;44442;35835;false;2020-09-14T00:02:45;true;true;false;2020-09-14T20:43:27;54515;33110;19800;2020-09-14T10:27:05;2020-09-14T00:24:21;2020-09-14T10:48:34;Associate;Functionality;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;46488;true;true;Handcrafted Boliviano Mvdol;Mississippi
8;36520;38095;38457;33747;false;2020-09-14T06:03:29;false;true;true;2020-09-14T02:59:26;71260;58742;90317;2020-09-14T05:20:03;2020-09-14T08:46:03;2020-09-14T10:27:21;Small Investment Account Awesome Metal Keyboard;Harbor Plastic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;76014;false;true;Re-engineered Iran navigate;quantify brand back up
9;44279;18634;69116;11251;false;2020-09-14T02:41:57;false;true;true;2020-09-14T00:39:36;35273;64509;89050;2020-09-14T05:56:10;2020-09-14T18:06:56;2020-09-14T12:43:03;firewall;Table;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;96598;true;false;open-source;hub
10;64353;67833;17701;75550;false;2020-09-14T11:01:58;true;false;true;2020-09-14T05:51:09;3085;98345;13230;2020-09-14T11:03:45;2020-09-14T07:45:32;2020-09-14T12:54:09;Cambridgeshire Kenyan Shilling;wireless efficient Kids;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;91614;false;true;Handmade Operative Officer;Palau Computers
