id;nota;fecha_alerta;fecha_creacion;fecha_modificacion
1;Buckinghamshire Soft Decentralized;2020-09-14T01:53:05;2020-09-13T22:41:11;2020-09-14T14:50:59
2;leading edge Metal Tools;2020-09-13T23:03:47;2020-09-14T04:10:21;2020-09-14T05:53:27
3;Refined Granite Computer;2020-09-14T14:00:05;2020-09-14T14:59:15;2020-09-14T14:06:52
4;South Georgia and the South Sandwich Islands;2020-09-14T04:30:39;2020-09-14T16:06:19;2020-09-14T17:17:51
5;Seamless Somali Shilling Table;2020-09-14T19:37:34;2020-09-14T06:00:32;2020-09-14T14:07:18
6;Sleek Soft Sausages;2020-09-14T13:10:06;2020-09-14T17:46:09;2020-09-14T17:46:34
7;Mobility indigo connect;2020-09-14T09:45:49;2020-09-14T09:48:53;2020-09-14T09:30:39
8;Plaza connect;2020-09-14T15:32:57;2020-09-14T05:01:10;2020-09-14T01:09:42
9;Utah Serbia;2020-09-14T20:04:45;2020-09-14T07:47:49;2020-09-14T01:48:01
10;interactive;2020-09-14T18:33:53;2020-09-14T09:29:25;2020-09-14T09:26:47
