id;nota;fecha_creacion;fecha_modificacion;favorito
1;Summit red;2020-09-14T14:35:17;2020-09-14T00:57:45;false
2;Kenya Paradigm Savings Account;2020-09-14T18:47:24;2020-09-13T22:10:40;true
3;connect Industrial;2020-09-14T11:49:16;2020-09-14T17:21:25;true
4;Designer process improvement;2020-09-13T23:30:48;2020-09-14T10:51:41;true
5;User-centric Cambridgeshire optical;2020-09-14T17:43:54;2020-09-14T16:52:32;true
6;Strategist synthesize magnetic;2020-09-14T19:39:14;2020-09-14T20:02:35;true
7;Global connecting;2020-09-14T05:27:32;2020-09-14T20:18:17;true
8;Buckinghamshire Soap;2020-09-14T10:46:18;2020-09-14T12:47:43;true
9;deposit exploit applications;2020-09-13T22:50:28;2020-09-14T08:50:27;false
10;Awesome Virginia;2020-09-14T16:22:38;2020-09-14T17:08:34;false
