id;nota;fecha_creacion;fecha_modificacion
1;Frozen;2020-09-14T06:38:03;2020-09-14T10:50:16
2;Health impactful navigate;2020-09-14T04:11:06;2020-09-14T04:41:49
3;Electronics Illinois Mobility;2020-09-14T04:52:34;2020-09-13T23:41:45
4;Assurance throughput multi-byte;2020-09-14T20:33:43;2020-09-14T16:42:15
5;one-to-one Washington;2020-09-14T08:57:06;2020-09-13T21:42:41
6;Architect Virginia;2020-09-14T08:24:38;2020-09-14T19:37:34
7;Investment Account superstructure Louisiana;2020-09-13T22:43:49;2020-09-14T20:48:48
8;Square white;2020-09-14T12:36:29;2020-09-14T03:24:38
9;Assistant Integration;2020-09-14T11:20:49;2020-09-14T14:35:18
10;Points payment;2020-09-14T07:55:15;2020-09-14T13:55:40
