id;codigo;nombre;descripcion;fecha_creacion;fecha_apertura;fecha_cierre;apertura_mandante;apertura_contratista;escritura_mandante;escritura_contratista;cierre_mandante;cierre_contratista;lectura_mandante;lectura_contratista
1;deposit enable;Mandatory Shoes Greens;Practical Tuvalu payment;2020-09-14T17:05:27;2020-09-14T18:52:23;2020-09-14T05:01:55;true;true;false;true;false;true;true;false
2;Netherlands Antillia;Delaware content-based architect;encompassing Corporate;2020-09-14T07:19:57;2020-09-14T13:51:02;2020-09-14T17:03:07;true;true;false;false;false;false;false;true
3;haptic Incredible wi;EXE Norway Pennsylvania;online;2020-09-14T08:29:28;2020-09-14T01:08:28;2020-09-13T23:57:28;true;false;false;false;false;true;true;false
4;reintermediate Incre;bluetooth Lempira;aggregate;2020-09-14T01:26:44;2020-09-14T05:08:18;2020-09-14T12:23:46;true;true;false;false;true;true;true;true
5;Fresh Practical;Buckinghamshire Product;Baby Personal Loan Account infrastructures;2020-09-14T01:27:54;2020-09-14T05:00:31;2020-09-14T08:33:25;false;true;true;true;false;true;false;true
6;Future-proofed Aweso;strategic;haptic Bedfordshire;2020-09-14T09:14:59;2020-09-14T12:19:44;2020-09-14T19:35:41;false;false;false;false;false;true;false;false
7;Representative blue;Direct recontextualize;Soft Luxembourg sticky;2020-09-14T07:22:01;2020-09-14T15:41:43;2020-09-14T00:58:27;true;true;false;true;true;false;true;false
8;mint green Sleek Fro;Handmade;Circle Synchronised cross-platform;2020-09-13T22:15:38;2020-09-14T02:03:17;2020-09-14T12:29:44;false;false;true;true;true;false;true;false
9;generate Steel;THX web services;Illinois;2020-09-14T08:02:32;2020-09-14T10:27:07;2020-09-14T12:33:00;true;true;false;true;false;true;false;true
10;interface payment pa;Borders;bluetooth Iraq Auto Loan Account;2020-09-14T06:42:05;2020-09-14T13:09:35;2020-09-13T21:53:07;true;true;false;true;false;false;false;false
