id;nombre;rut;fecha_creacion;fecha_modificacion;estado;fecha_activacion;fecha_desactivacion
1;SDD concept Directives;homogeneous generating;2020-09-14T15:21:52;2020-09-14T08:07:13;false;2020-09-14T16:00:28;2020-09-14T09:12:28
2;Pakistan;Buckinghamshire;2020-09-14T12:15:19;2020-09-14T02:44:35;true;2020-09-14T03:08:10;2020-09-14T15:59:14
3;Fresh;Handcrafted;2020-09-14T02:31:48;2020-09-14T12:36:27;false;2020-09-14T19:45:42;2020-09-14T11:28:42
4;United States of America Jewelery contingency;interface;2020-09-14T07:15:26;2020-09-13T23:11:15;true;2020-09-14T14:30:58;2020-09-13T20:46:31
5;Liaison Generic;Car Assurance Baby;2020-09-14T07:15:22;2020-09-14T04:04:39;true;2020-09-14T12:05:57;2020-09-14T01:13:04
6;Vermont;metrics;2020-09-14T05:44:44;2020-09-14T11:34:57;true;2020-09-14T20:25:54;2020-09-14T08:38:09
7;cross-platform one-to-one infrastructure;solution cutting-edge;2020-09-14T14:58:09;2020-09-14T10:19:36;true;2020-09-14T07:06:28;2020-09-14T03:32:36
8;secured line;New York;2020-09-14T13:53:49;2020-09-14T14:35:55;true;2020-09-13T21:21:31;2020-09-14T20:09:29
9;Cambridgeshire indexing blue;circuit Botswana;2020-09-13T22:44:04;2020-09-14T20:39:25;false;2020-09-13T21:20:23;2020-09-14T05:01:59
10;Chips Tasty;copying Gloves Colorado;2020-09-14T18:25:41;2020-09-14T13:12:19;false;2020-09-14T18:44:04;2020-09-14T01:57:31
