id;estado;cargo_funcion;fecha_creacion;fecha_modificacion;admin_activo
1;false;Brand;2020-09-14T06:34:31;2020-09-14T00:11:07;true
2;true;fault-tolerant Personal Loan Account;2020-09-14T18:01:06;2020-09-14T18:15:34;true
3;true;Kansas Sleek Concrete Keyboard;2020-09-14T06:40:43;2020-09-14T19:04:08;false
4;false;Gloves bypass Money Market Account;2020-09-14T10:31:28;2020-09-13T22:19:15;true
5;false;Right-sized Bhutan;2020-09-14T20:45:48;2020-09-14T12:45:38;true
6;true;Chicken;2020-09-14T10:22:52;2020-09-14T13:46:38;true
7;true;olive homogeneous;2020-09-14T00:03:10;2020-09-14T18:38:37;false
8;false;functionalities Fresh Industrial;2020-09-14T01:34:35;2020-09-14T05:09:20;true
9;true;withdrawal;2020-09-14T10:07:07;2020-09-14T03:42:57;true
10;false;Chief Investment Account Greece;2020-09-14T07:10:38;2020-09-14T08:14:29;false
